,itemName,initial,timeOnMarket,priceIncrease,priceAvg,priceSD,maxPrice,maxIdx,minPrice,minIdx,swing,volAvg,volSD,slope,rr
10,Desert Digital - P92,-1.0820000000000007,752,-22.622978515625,9.432809174864099,3.8537373429951165,37.347,5,2.5394512214660647,750,34.807548778533935,212.8738379814077,206.12628774647774,-0.013983982479636796,0.6221648336400097
11,Vikendi Elite Attendant Shoes,931.4420000000001,471,-289.3285002288818,13.755097328486332,84.10630879633928,1224.236,1,1.884,14,1222.352,133.57203389830508,95.7423222443691,-0.11282997984874447,0.033411246326972205
12,VK Varsity Jacket,127.05400000000003,613,-30.769745826721135,247.34290643038636,67.42180318480041,501.254,1,66.101,234,435.153,141.20032573289902,159.79202872136844,0.08345404780428127,0.04813360945293857
13,"""Baby Bear"" Face Shirt",-2332.8360000000002,470,-3788.3632938842775,260.00904386815205,240.61408595687888,4021.57,0,124.471,89,3897.099,143.56716417910448,103.1677286934751,-0.2832241372957187,0.02539691082214737
14,Leather Bootcut Pants,-3215.1449999999995,815,-8830.41401965332,288.5200097766852,525.4723582609021,8931.205,0,46.755,437,8884.45,75.34436274509804,55.48315229697744,-1.048484226341209,0.22091360898999401
15,Combat Pants (White),-4.9879999999999995,1147,-13.091473068237304,0.919303195413189,1.143369042582338,13.376,0,0.147,745,13.229,1803.0662020905922,2724.627112704193,-0.0020131485026884392,0.34047165896188136
16,Leather Boots (Brown),-39.750999999999976,857,-431.392234375,5.5626106765851,27.298986869606058,432.522,0,0.986,496,431.536,246.92424242424244,374.02873765499896,-0.02301662742064916,0.04360969565145177
17,Fingerless Gloves (Tan),3.942,1147,-40.69618957519531,3.2678757487690198,5.228691229182469,55.938,4,0.5297465827465057,1144,55.4082534172535,824.1315331010453,805.2800317673069,-0.008764141782291854,0.308556711871139
18,Vintage Gas Mask,-414.1750000000002,815,-2444.5025597648623,138.54831109790328,194.21421364177638,2466.822,0,22.31944023513794,815,2444.5025597648623,167.49019607843138,120.31568933419096,-0.4844257049202173,0.34521587396996634
19,Gunsmith Cobalt - QBU,1.8230000000000004,172,33.986490047454836,39.796372810545684,8.803825239708594,49.987,54,9.959,0,40.028000000000006,790.5895953757225,498.205855387721,0.108118663327665,0.376144710414652
20,FIRE IN THE HOLE SET,39343.117,703,180.4320000000007,27575.26914285714,20081.93016068431,68540.898,1,4656.326,6,63884.572,1.0714285714285714,0.25753937681885636,-2038.5045186813181,0.16744254544575676
21,The Olive Branch - Pan,133195.85400000002,752,116500.11899999999,128053.99204458598,18867.89330589105,145505.547,5,5522.24,0,139983.307,1.1401273885350318,0.4291689306477201,-59.5401810169996,0.02045379586036476
22,Slacks (Purple),178.0970000000002,1018,-1186.5754482421873,175.060401297602,258.0334531974394,1380.659,1,11.814787109375,1005,1368.8442128906252,92.15701668302258,99.07132509294973,-0.6716764430080805,0.5863202701555604
23,Gold Plate - Groza,-138.62599999999998,752,-201.53661280822757,375.61547938105565,62.47397274483263,735.173,0,186.514,376,548.659,184.35590969455512,123.99694024521375,-0.023178047029209337,0.006503743012529235
24,Shirt (White),3.166000000000004,1147,-50.13397712326049,26.543973974553865,25.935463900824693,111.155,330,2.776,70,108.379,1051.369337979094,1193.7142483840228,-0.0365404931140433,0.21800324955504416
25,Jeans (Tan),45.789999999999964,1147,-173.19368969726563,1792.2048115167652,2418.0528329355598,10772.043,238,49.908,771,10722.135,46.43554006968641,37.19330132877041,-4.836429108464307,0.43935976356554146
26,Bloody Sneakers,-942.46,1017,-935.6805571289063,175.65489262549795,75.77643605676485,1028.833,0,47.599,27,981.234,579.1125370187561,596.8832136616146,-0.15455124440360957,0.3557245862037423
27,Gold Plate  - Sawed-Off,-3.7779999999999916,775,-119.35658434295655,33.4751284726958,12.499142083550337,149.495,0,19.933,441,129.562,306.8904639175258,254.54568810283067,-0.02366627826102353,0.1799040740949076
28,Toxic - S1897,-3.5919999999999987,165,-22.835617969512946,61.11906408434603,15.401875150050476,101.716,41,41.729449120521544,147,59.98655087947845,157.75301204819277,106.92686593930574,-0.2643645772642837,0.6765166623119266
29,Golden Tracksuit Pants,22469.682,730,0.0,22469.682,0.0,22469.682,0,22469.682,0,0.0,1.0,0.0,,0.0
30,Long Leather Boots (Brown),74.6579999999999,857,-516.1214111938477,9.928256095535827,37.14644761430475,593.675,1,1.757,519,591.918,375.3403263403263,548.870650886062,-0.03490815882418962,0.05417663800064522
31,TRIUMPH CRATE,76.57299999999998,782,-363.9177860488892,9.408438469194362,48.621232093748716,460.556,2,0.227,361,460.329,12274.904214559387,15315.859252451004,-0.06347752913388409,0.0870822570351992
32,Camo Combat Pants (Gray),-0.7119999999999997,815,-7.930659317016602,4.743981702635978,2.483210676234312,10.13,5,1.0354777561426163,787,9.094522243857384,261.50857843137254,252.11502378979353,-0.009449659737886975,0.803532833252548
33,Padded Jacket (Beige),12.961999999999989,1147,-149.75083779144288,20.12038107411236,22.215342213157935,233.353,6,2.0944105602502825,1125,231.25858943974973,458.31620209059236,429.5122225494564,-0.04539010451622976,0.4584780525708495
34,Dirty Tank Top (Gray),0.45700000000000074,815,-14.093380523681642,4.854400500422015,3.454050792529917,17.627,7,1.1468342132568359,793,16.480165786743164,151.33823529411765,155.87733459365757,-0.011221768654663882,0.5856843267085311
35,GAMESCOM INVITATIONAL CRATE,52.684000000000026,1018,-206.90880310821532,126.94059351480534,165.1322586075766,677.842,105,16.814,592,661.028,6218.53091265947,17417.945960350775,-0.40743940724754446,0.5267795710846175
36,School Pants,-656.896,1017,-674.3501338806152,13.961697476908345,26.267355449549992,677.126,0,1.934,967,675.192,590.4373149062192,740.310353044434,-0.042475355300721364,0.22360348097990626
37,Hi-top Trainers (Red),-510.625,815,-19348.77205981445,6621.123925273047,5141.302214123203,24875.537,4,1114.217,436,23761.32,70.44975490196079,59.616852013986566,-16.816387350313995,0.5936323471019839
38,Pan of Judgement,58161.84,662,-14787.573242187502,10869.429233913355,3395.282772223469,81702.844,1,7494.97,592,74207.874,15.912087912087912,14.503130010415747,-4.564740391659978,0.061119080924883946
39,Silver Plate - Tommy Gun,2.475999999999999,752,-24.903013103485108,48.295849593651724,17.696347866154706,191.305,686,29.034,365,162.27100000000002,398.2018592297477,281.3668528210051,0.018334028780817715,0.05071733958556523
40,Lazy Sunday Sweatpants,91.85900000000004,703,-145.18183627319334,141.23675381442345,76.69611425043227,468.906,6,42.919,307,425.987,136.01988636363637,219.6814640047262,-0.267104692797471,0.5009328468127248
41,PGC 2019 Goggles,13.951999999999998,151,22.515238334655763,105.87977002620933,12.51541439698175,138.395,60,73.808,0,64.587,291.86842105263156,270.1637340823087,0.02434618555099197,0.0072854858515341014
42,Punk Knuckle Gloves (Black),420.11400000000003,857,-1061.3438578681944,75.1970712355424,99.22778423544571,1530.551,1,33.186,162,1497.365,945.1433566433567,991.1072034713915,-0.07132818915801231,0.03169921806681412
43,Constable's Pants,30.370000000000005,469,-295.55321875,13.717577592111144,52.86122270214729,982.293,2,4.0242031250000005,466,978.268796875,39.261702127659575,28.904421020832952,-0.06026681544179659,0.02392734889075485
44,Desert Shemagh,462.2449999999999,703,-1136.3056724853516,279.01787755566426,279.31194982651857,1910.982,6,30.297,327,1880.685,107.29119318181819,139.0515728873282,-0.8793117002343703,0.4093265045303956
45,Jungle Digital - AWM,-168.21800000000007,782,-1455.264144470215,295.3372940979686,173.33858856124985,1676.91,0,82.345,406,1594.565,61.77905491698595,46.10400780583738,-0.5034223825047581,0.43093929733616015
46,Desert Digital - Mini14,-9.596000000000004,775,-186.6246304473877,184.1302883592039,43.77530962136497,370.493,0,94.845,399,275.648,432.6520618556701,312.2430656264943,0.08668878708707797,0.19679265060261442
47,TWITCH PRIME SET,-760.5,1042,1610.8110000000001,4940.950317538896,2517.6590806888375,12821.716,132,1921.853,475,10899.863000000001,6.827439886845827,16.62043814606518,-5.837657434530536,0.22394433568893693
48,Dress Shoes (Black),-0.11199999999999988,634,-1.231110595703125,0.48759526493080024,0.26294983662399946,2.738,34,0.16590793561935424,630,2.5720920643806457,236.37007874015748,172.19092146633884,-0.0007476607033300548,0.27166170792185873
